Ticker,Asset_Type,Buy_Price,Shares,Buy_Date,Sell_Qty,Sell_Price,Sell_Date
1060NFL27,Stock,1.0,1.0,,,,
EXCELINDUS,Stock,1.0,1.0,,,,
GSFC,Stock,1.0,1.0,,,,
HDFCLIFE,Stock,1.0,1.0,,,,
ITC,Stock,1.0,1.0,,,,
HEXT,Stock,1.0,1.0,,,,
JAYBARMARU,Stock,1.0,1.0,,,,
KALAMANDIR,Stock,1.0,1.0,,,,
KAMATHOTEL,Stock,1.0,1.0,,,,
LINCOLN,Stock,1.0,1.0,,,,
Ramky Infra,Stock,1.0,1.0,,,,
Jio Fin,Stock,1.0,1.0,,,,
PVVINFRA,Stock,1.0,1.0,,,,
TRANSPEK,Stock,1.0,1.0,,,,
7TEC,Stock,1.0,1.0,,,,
ASTERDM,Stock,1.0,1.0,,,,
GVPIL,Stock,1.0,1.0,2026-08-13,,,
